t,MV,PV,DV,MVP,MVI,MVD,MVFF,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000002842e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.585556012343954535e+02,1.593894726302246454e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.524482698031326890e+02,1.532821411989618525e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.989900000000000091e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.465749531822320932e+02,1.474088245780612567e+02,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.492523850393698694e+02,-2.411051092147851591e+02,1.418527241754152897e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.354913093291884536e+02,1.363251807250176171e+02,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.302677330956060189e+02,1.311016044914351824e+02,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.252443087967060364e+02,1.260781801925351999e+02,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000001421e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.204133672045178969e+02,1.212472386003470746e+02,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000001421e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.157675329531201669e+02,1.166014043489493446e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.112997132787191674e+02,1.121335846745483309e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,4.999999999999998579e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.070030871911743588e+02,1.078369585870035081e+02,0.000000000000000000e+00,1.000000000000000000e+00
