t,MV,PV,DV,MVP,MVI,MVD,MVFF,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.283200000000000074e+01,5.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-2.428758640159938125e+02,1.512898463838579914e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-2.370788862181273657e+02,1.454928685859915447e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-2.315040314007000291e+02,1.399180137685642080e+02,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.280000000000000071e+01,5.000000000000000000e+01,1.415860176321358210e+02,-2.261427884704905296e+02,1.345567708383547085e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,2.280000000000000071e+01,5.000000000000000000e+01,1.416696602359651820e+02,-2.211599902441002143e+02,1.294903300081350324e+02,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.416696602359651820e+02,-2.161983052002078693e+02,1.245286449642426874e+02,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.999999999999998579e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-2.112537194080570657e+02,1.196677017759212305e+02,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,4.999999999999998579e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-2.066684083187946044e+02,1.150823906866587691e+02,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000001421e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-2.022587927386234696e+02,1.106727751064876628e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,4.999999999999998579e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-1.980181405372010204e+02,1.064321229050651851e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-1.939399775394343237e+02,1.023539599072985027e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-1.900180776414010495e+02,9.843206000926522847e+01,0.000000000000000000e+00,1.000000000000000000e+00
