t,MV,PV,DV,MVP,MVI,MVD,MVFF,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.347700000000000031e+01,5.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.347700000000000031e+01,5.000000000000000000e+01,1.399000963987004127e+02,-2.393884741863837462e+02,1.494883777876833335e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.347700000000000031e+01,5.000000000000000000e+01,1.399000963987004127e+02,-2.336605233173244187e+02,1.437604269186240060e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.347700000000000031e+01,5.000000000000000000e+01,1.399000963987004127e+02,-2.281520505217040693e+02,1.382519541230036566e+02,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.347700000000000031e+01,5.000000000000000000e+01,1.399000963987004127e+02,-2.228546460512860676e+02,1.329545496525856549e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,2.350900000000000034e+01,5.000000000000000000e+01,1.399000963987004127e+02,-2.177602223944212483e+02,1.278601259957208356e+02,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,4.999999999999998579e+01,2.347700000000000031e+01,5.000000000000000000e+01,1.398164537948710802e+02,-2.126879841389023227e+02,1.228715303440312283e+02,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.999999999999998579e+01,2.347700000000000031e+01,5.000000000000000000e+01,1.399000963987004127e+02,-2.081529296397179110e+02,1.182528332410174841e+02,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,4.999999999999998579e+01,2.350900000000000034e+01,5.000000000000000000e+01,1.399000963987004127e+02,-2.036218321125667217e+02,1.137217357138662948e+02,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000001421e+01,2.354100000000000037e+01,5.000000000000000000e+01,1.398164537948710802e+02,-1.990913350017477796e+02,1.092748812068767137e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,2.357300000000000040e+01,5.000000000000000000e+01,1.397328111910417476e+02,-1.947312281548065585e+02,1.049984169637648108e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000001421e+01,2.360500000000000043e+01,5.000000000000000000e+01,1.396491685872123867e+02,-1.905349827226477828e+02,1.008858141354354103e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000001421e+01,2.354100000000000037e+01,5.000000000000000000e+01,1.395655259833830257e+02,-1.864963200222923092e+02,9.693079403890929768e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000001421e+01,2.360500000000000043e+01,5.000000000000000000e+01,1.397328111910417476e+02,-1.831282553212424205e+02,9.339544413020068703e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000001421e+01,2.376699999999999946e+01,5.000000000000000000e+01,1.395655259833830257e+02,-1.792035835737510183e+02,8.963805759036800680e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000001421e+01,2.376699999999999946e+01,5.000000000000000000e+01,1.391420853014969339e+02,-1.748930167425114632e+02,8.575093144101454357e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,2.379899999999999949e+01,5.000000000000000000e+01,1.391420853014969339e+02,-1.716072956079372602e+02,8.246521030644032635e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,4.999999999999998579e+01,2.379899999999999949e+01,5.000000000000000000e+01,1.390584426976675729e+02,-1.682744557633274667e+02,7.921601306565987954e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,2.379899999999999949e+01,5.000000000000000000e+01,1.390584426976675729e+02,-1.652391333014882377e+02,7.618069060382066482e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000001421e+01,2.379899999999999949e+01,5.000000000000000000e+01,1.390584426976675729e+02,-1.623201153857981467e+02,7.326167268813058797e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,4.999999999999998579e+01,2.405699999999999861e+01,5.000000000000000000e+01,1.390584426976675729e+02,-1.595129455713077959e+02,7.045450287364020880e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,4.999999999999998579e+01,2.412099999999999866e+01,5.000000000000000000e+01,1.383840742042934266e+02,-1.554183822389648526e+02,6.703430803467141175e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,2.412099999999999866e+01,5.000000000000000000e+01,1.382167889966347332e+02,-1.525037909715910587e+02,6.428700197495632551e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000001421e+01,2.412099999999999866e+01,5.000000000000000000e+01,1.382167889966347332e+02,-1.500405038968281701e+02,6.182371490019345117e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000001421e+01,2.434700000000000131e+01,5.000000000000000000e+01,1.382167889966347332e+02,-1.476716026703127795e+02,5.945481367367806058e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,2.444300000000000139e+01,5.000000000000000000e+01,1.376260631070899194e+02,-1.441715325646838153e+02,5.654546945759389587e+01,0.000000000000000000e+00,1.000000000000000000e+00
