t,MV,PV,DV,MVP,MVI,MVD,MVFF,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.989900000000000091e+01,5.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.492523850393698694e+02,-2.587340258303290170e+02,1.594816407909591476e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.524447381928216032e+02,1.532786095886507667e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.989900000000000091e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.465715568927442689e+02,1.474054282885734324e+02,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.492523850393698694e+02,-2.411018430610283474e+02,1.418494580216584779e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.354881683247477611e+02,1.363220397205769245e+02,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.302647124451311811e+02,1.310985838409603446e+02,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.252414038885903551e+02,1.260752752844195186e+02,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.204105736038577845e+02,1.212444449996869480e+02,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.999999999999998579e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.157648463949443567e+02,1.165987177907735060e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000001421e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.112971296614773564e+02,1.121310010573065341e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000001421e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-2.070006025704755643e+02,1.078344739663047420e+02,0.000000000000000000e+00,1.000000000000000000e+00
