t,MV,PV,DV,MVP,MVI,MVD,MVFF,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.183299999999999841e+01,5.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.183299999999999841e+01,5.000000000000000000e+01,1.441972351704334017e+02,-2.482772631474363152e+02,1.540800279770029135e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.183299999999999841e+01,5.000000000000000000e+01,1.441972351704334017e+02,-2.423733738737895465e+02,1.481761387033561448e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.180099999999999838e+01,5.000000000000000000e+01,1.441972351704334017e+02,-2.366957041109588147e+02,1.424984689405254130e+02,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.442808777742627342e+02,-2.314086035888358595e+02,1.371277258145731253e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.441135925666040691e+02,-2.258082406298463241e+02,1.316946480632422549e+02,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.441135925666040691e+02,-2.207620926617702253e+02,1.266485000951661561e+02,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.441135925666040691e+02,-2.159092981039518406e+02,1.217957055373477715e+02,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000001421e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.441135925666040691e+02,-2.112424482276945810e+02,1.171288556610905260e+02,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.999999999999998579e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.441135925666040691e+02,-2.067544181847922005e+02,1.126408256181881171e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.441135925666040691e+02,-2.024383561300709005e+02,1.083247635634668313e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,4.999999999999998579e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.441135925666040691e+02,-1.982876727607238649e+02,1.041740801941197816e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000001421e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.441135925666040691e+02,-1.942960312564668470e+02,1.001824386898627921e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000001421e+01,2.186499999999999844e+01,5.000000000000000000e+01,1.441135925666040691e+02,-1.904573376051577043e+02,9.634374503855364935e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,4.999999999999998579e+01,2.189699999999999847e+01,5.000000000000000000e+01,1.441135925666040691e+02,-1.867657312991089498e+02,9.265213873250486643e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,2.189699999999999847e+01,5.000000000000000000e+01,1.440299499627747082e+02,-1.830425585978940717e+02,8.901260863511936350e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,2.199399999999999977e+01,5.000000000000000000e+01,1.440299499627747082e+02,-1.796318596757817545e+02,8.560190971300704632e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,4.999999999999998579e+01,2.212300000000000111e+01,5.000000000000000000e+01,1.437764083199169818e+02,-1.758273884355164682e+02,8.205098011559947224e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,4.999999999999998579e+01,2.218799999999999883e+01,5.000000000000000000e+01,1.434392240732298944e+02,-1.719859604862195965e+02,7.854673641298968789e+01,0.000000000000000000e+00,1.000000000000000000e+00
