tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.999999999999118927e-04
2.000000000000000000e+00,1.000000000000000000e+00,7.999999999999118927e-04
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,-8.250000000000312205e-04
5.000000000000000000e+00,1.000000000000000000e+00,-8.250000000000312205e-04
6.000000000000000000e+00,1.000000000000000000e+00,-8.250000000000312205e-04
7.000000000000000000e+00,1.000000000000000000e+00,-8.250000000000312205e-04
8.000000000000000000e+00,1.000000000000000000e+00,2.400000000000090863e-03
9.000000000000000000e+00,1.000000000000000000e+00,4.824999999999945652e-03
1.000000000000000000e+01,1.000000000000000000e+00,7.250000000000156493e-03
1.100000000000000000e+01,1.000000000000000000e+00,7.250000000000156493e-03
1.200000000000000000e+01,1.000000000000000000e+00,7.250000000000156493e-03
1.300000000000000000e+01,1.000000000000000000e+00,1.127500000000019112e-02
1.400000000000000000e+01,1.000000000000000000e+00,1.287500000000001490e-02
1.500000000000000000e+01,1.000000000000000000e+00,1.287500000000001490e-02
1.600000000000000000e+01,1.000000000000000000e+00,1.287500000000001490e-02
1.700000000000000000e+01,1.000000000000000000e+00,1.367499999999992680e-02
1.800000000000000000e+01,1.000000000000000000e+00,1.287500000000001490e-02
1.900000000000000000e+01,1.000000000000000000e+00,1.367499999999992680e-02
2.000000000000000000e+01,1.000000000000000000e+00,1.367499999999992680e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.367499999999992680e-02
2.200000000000000000e+01,1.000000000000000000e+00,1.530000000000022488e-02
2.300000000000000000e+01,1.000000000000000000e+00,1.530000000000022488e-02
2.400000000000000000e+01,1.000000000000000000e+00,1.530000000000022488e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.610000000000013504e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.610000000000013504e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.772500000000008097e-02
2.800000000000000000e+01,1.000000000000000000e+00,2.092500000000008242e-02
2.900000000000000000e+01,1.000000000000000000e+00,2.092500000000008242e-02
3.000000000000000000e+01,1.000000000000000000e+00,2.255000000000002489e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.334999999999993678e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.334999999999993678e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.334999999999993678e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.334999999999993678e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.737499999999997227e-02
3.600000000000000000e+01,1.000000000000000000e+00,3.140000000000000430e-02
3.700000000000000000e+01,1.000000000000000000e+00,3.140000000000000430e-02
3.800000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
3.900000000000000000e+01,1.000000000000000000e+00,3.947500000000019049e-02
4.000000000000000000e+01,1.000000000000000000e+00,3.947500000000019049e-02
4.100000000000000000e+01,1.000000000000000000e+00,3.947500000000019049e-02
4.200000000000000000e+01,1.000000000000000000e+00,3.947500000000019049e-02
4.300000000000000000e+01,1.000000000000000000e+00,4.027500000000010238e-02
4.400000000000000000e+01,1.000000000000000000e+00,4.589999999999996166e-02
4.500000000000000000e+01,1.000000000000000000e+00,4.752499999999990760e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.752499999999990760e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.752499999999990760e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.752499999999990760e-02
4.900000000000000000e+01,1.000000000000000000e+00,5.315000000000012076e-02
5.000000000000000000e+01,1.000000000000000000e+00,5.557499999999997164e-02
5.100000000000000000e+01,1.000000000000000000e+00,5.557499999999997164e-02
5.200000000000000000e+01,1.000000000000000000e+00,5.557499999999997164e-02
5.300000000000000000e+01,1.000000000000000000e+00,6.122499999999995307e-02
5.400000000000000000e+01,1.000000000000000000e+00,6.362500000000004263e-02
5.500000000000000000e+01,1.000000000000000000e+00,6.362500000000004263e-02
5.600000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.700000000000000000e+01,1.000000000000000000e+00,7.007499999999992901e-02
5.800000000000000000e+01,1.000000000000000000e+00,7.170000000000023577e-02
5.900000000000000000e+01,1.000000000000000000e+00,7.170000000000023577e-02
6.000000000000000000e+01,1.000000000000000000e+00,7.652500000000017621e-02
6.100000000000000000e+01,1.000000000000000000e+00,7.974999999999994593e-02
6.200000000000000000e+01,1.000000000000000000e+00,8.780000000000001692e-02
6.300000000000000000e+01,1.000000000000000000e+00,8.780000000000001692e-02
6.400000000000000000e+01,1.000000000000000000e+00,8.780000000000001692e-02
6.500000000000000000e+01,1.000000000000000000e+00,9.182500000000004547e-02
