t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,6.633799999999999386e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,6.633799999999999386e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,6.633799999999999386e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,6.633799999999999386e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,6.633799999999999386e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,6.633799999999999386e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,6.633799999999999386e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,6.637000000000000455e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,6.633799999999999386e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,6.633799999999999386e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,6.617700000000000671e+01,7.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,6.607999999999999829e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,6.604800000000000182e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,6.611199999999999477e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,6.607999999999999829e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,6.607999999999999829e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,6.607999999999999829e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,6.620900000000000318e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,6.630599999999999739e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,6.630599999999999739e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,6.633799999999999386e+01,7.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,6.640200000000000102e+01,7.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,6.656300000000000239e+01,7.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,6.665999999999999659e+01,7.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,6.665999999999999659e+01,7.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,6.672499999999999432e+01,7.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,6.695000000000000284e+01,7.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,6.727200000000000557e+01,7.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,6.730500000000000682e+01,7.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,6.733700000000000330e+01,7.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,6.762699999999999534e+01,7.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,6.762699999999999534e+01,7.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,6.765900000000000603e+01,7.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,6.794899999999999807e+01,7.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,6.794899999999999807e+01,7.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,6.794899999999999807e+01,7.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,6.810999999999999943e+01,7.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,6.827100000000000080e+01,7.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,6.827100000000000080e+01,7.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,6.827100000000000080e+01,7.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,6.836799999999999500e+01,7.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,6.859399999999999409e+01,7.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,6.859399999999999409e+01,7.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,6.859399999999999409e+01,7.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,6.859399999999999409e+01,7.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,6.872299999999999898e+01,7.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,6.881900000000000261e+01,7.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,6.891599999999999682e+01,7.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,6.891599999999999682e+01,7.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,6.920600000000000307e+01,7.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,6.923799999999999955e+01,7.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,6.930299999999999727e+01,7.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,6.956100000000000705e+01,7.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,6.956100000000000705e+01,7.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,6.959300000000000352e+01,7.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,6.988299999999999557e+01,7.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,6.988299999999999557e+01,7.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,6.988299999999999557e+01,7.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,7.004399999999999693e+01,7.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,7.020499999999999829e+01,7.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,7.020499999999999829e+01,7.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,7.039799999999999613e+01,7.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,7.052700000000000102e+01,7.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,7.052700000000000102e+01,7.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,7.084999999999999432e+01,7.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,7.084999999999999432e+01,7.000000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+01,7.107500000000000284e+01,7.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,7.117199999999999704e+01,7.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,7.120399999999999352e+01,7.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,7.149399999999999977e+01,7.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,7.149399999999999977e+01,7.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,7.152599999999999625e+01,7.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,7.181600000000000250e+01,7.000000000000000000e+01
8.900000000000000000e+01,5.000000000000000000e+01,7.191299999999999670e+01,7.000000000000000000e+01
9.000000000000000000e+01,5.000000000000000000e+01,7.213899999999999579e+01,7.000000000000000000e+01
9.100000000000000000e+01,5.000000000000000000e+01,7.213899999999999579e+01,7.000000000000000000e+01
9.200000000000000000e+01,5.000000000000000000e+01,7.229999999999999716e+01,7.000000000000000000e+01
9.300000000000000000e+01,5.000000000000000000e+01,7.246099999999999852e+01,7.000000000000000000e+01
9.400000000000000000e+01,5.000000000000000000e+01,7.246099999999999852e+01,7.000000000000000000e+01
9.500000000000000000e+01,5.000000000000000000e+01,7.278300000000000125e+01,7.000000000000000000e+01
9.600000000000000000e+01,5.000000000000000000e+01,7.278300000000000125e+01,7.000000000000000000e+01
9.700000000000000000e+01,5.000000000000000000e+01,7.300900000000000034e+01,7.000000000000000000e+01
9.800000000000000000e+01,5.000000000000000000e+01,7.310500000000000398e+01,7.000000000000000000e+01
9.900000000000000000e+01,5.000000000000000000e+01,7.310500000000000398e+01,7.000000000000000000e+01
1.000000000000000000e+02,5.000000000000000000e+01,7.329900000000000659e+01,7.000000000000000000e+01
1.010000000000000000e+02,5.000000000000000000e+01,7.342799999999999727e+01,7.000000000000000000e+01
1.020000000000000000e+02,5.000000000000000000e+01,7.342799999999999727e+01,7.000000000000000000e+01
1.030000000000000000e+02,5.000000000000000000e+01,7.349200000000000443e+01,7.000000000000000000e+01
1.040000000000000000e+02,5.000000000000000000e+01,7.375000000000000000e+01,7.000000000000000000e+01
1.050000000000000000e+02,5.000000000000000000e+01,7.375000000000000000e+01,7.000000000000000000e+01
1.060000000000000000e+02,5.000000000000000000e+01,7.381399999999999295e+01,7.000000000000000000e+01
1.070000000000000000e+02,5.000000000000000000e+01,7.391100000000000136e+01,7.000000000000000000e+01
1.080000000000000000e+02,5.000000000000000000e+01,7.407200000000000273e+01,7.000000000000000000e+01
1.090000000000000000e+02,5.000000000000000000e+01,7.407200000000000273e+01,7.000000000000000000e+01
1.100000000000000000e+02,5.000000000000000000e+01,7.413700000000000045e+01,7.000000000000000000e+01
1.110000000000000000e+02,5.000000000000000000e+01,7.436199999999999477e+01,7.000000000000000000e+01
1.120000000000000000e+02,5.000000000000000000e+01,7.439499999999999602e+01,7.000000000000000000e+01
1.130000000000000000e+02,5.000000000000000000e+01,7.439499999999999602e+01,7.000000000000000000e+01
1.140000000000000000e+02,5.000000000000000000e+01,7.465200000000000102e+01,7.000000000000000000e+01
1.150000000000000000e+02,5.000000000000000000e+01,7.471699999999999875e+01,7.000000000000000000e+01
1.160000000000000000e+02,5.000000000000000000e+01,7.471699999999999875e+01,7.000000000000000000e+01
1.170000000000000000e+02,5.000000000000000000e+01,7.471699999999999875e+01,7.000000000000000000e+01
1.180000000000000000e+02,5.000000000000000000e+01,7.481300000000000239e+01,7.000000000000000000e+01
1.190000000000000000e+02,5.000000000000000000e+01,7.497499999999999432e+01,7.000000000000000000e+01
1.200000000000000000e+02,5.000000000000000000e+01,7.503900000000000148e+01,7.000000000000000000e+01
1.210000000000000000e+02,5.000000000000000000e+01,7.503900000000000148e+01,7.000000000000000000e+01
1.220000000000000000e+02,5.000000000000000000e+01,7.507099999999999795e+01,7.000000000000000000e+01
1.230000000000000000e+02,5.000000000000000000e+01,7.516800000000000637e+01,7.000000000000000000e+01
1.240000000000000000e+02,5.000000000000000000e+01,7.526500000000000057e+01,7.000000000000000000e+01
1.250000000000000000e+02,5.000000000000000000e+01,7.536100000000000421e+01,7.000000000000000000e+01
1.260000000000000000e+02,5.000000000000000000e+01,7.536100000000000421e+01,7.000000000000000000e+01
1.270000000000000000e+02,5.000000000000000000e+01,7.555500000000000682e+01,7.000000000000000000e+01
1.280000000000000000e+02,5.000000000000000000e+01,7.568399999999999750e+01,7.000000000000000000e+01
1.290000000000000000e+02,5.000000000000000000e+01,7.568399999999999750e+01,7.000000000000000000e+01
1.300000000000000000e+02,5.000000000000000000e+01,7.578000000000000114e+01,7.000000000000000000e+01
1.310000000000000000e+02,5.000000000000000000e+01,7.600600000000000023e+01,7.000000000000000000e+01
1.320000000000000000e+02,5.000000000000000000e+01,7.600600000000000023e+01,7.000000000000000000e+01
1.330000000000000000e+02,5.000000000000000000e+01,7.606999999999999318e+01,7.000000000000000000e+01
1.340000000000000000e+02,5.000000000000000000e+01,7.632800000000000296e+01,7.000000000000000000e+01
1.350000000000000000e+02,5.000000000000000000e+01,7.632800000000000296e+01,7.000000000000000000e+01
1.360000000000000000e+02,5.000000000000000000e+01,7.648900000000000432e+01,7.000000000000000000e+01
1.370000000000000000e+02,5.000000000000000000e+01,7.665000000000000568e+01,7.000000000000000000e+01
