t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,6.553199999999999648e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,6.553199999999999648e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,6.569299999999999784e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,6.569299999999999784e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,6.569299999999999784e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,6.585399999999999920e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,6.598300000000000409e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,6.601600000000000534e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,6.601600000000000534e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,6.601600000000000534e+01,5.000000000000000000e+01
1.000000000000000000e+01,3.000000000000000000e+01,6.601600000000000534e+01,5.000000000000000000e+01
1.100000000000000000e+01,3.000000000000000000e+01,6.620900000000000318e+01,5.000000000000000000e+01
1.200000000000000000e+01,3.000000000000000000e+01,6.620900000000000318e+01,5.000000000000000000e+01
1.300000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
1.400000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
1.500000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
1.600000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
1.700000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
1.800000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
1.900000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.000000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.100000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.200000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.300000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.400000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.500000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.600000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.700000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.800000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
2.900000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
3.000000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
3.100000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
3.200000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
3.300000000000000000e+01,3.000000000000000000e+01,6.633799999999999386e+01,5.000000000000000000e+01
3.400000000000000000e+01,3.000000000000000000e+01,6.627299999999999613e+01,5.000000000000000000e+01
3.500000000000000000e+01,3.000000000000000000e+01,6.617700000000000671e+01,5.000000000000000000e+01
3.600000000000000000e+01,3.000000000000000000e+01,6.614499999999999602e+01,5.000000000000000000e+01
3.700000000000000000e+01,3.000000000000000000e+01,6.604800000000000182e+01,5.000000000000000000e+01
